,id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
51,216476997,precede,,Top2Vec_48,77fa359f-ad38-4a73-8773-e1cb0fd33d8b,modernity,political,politics,feyerabend,precede
52,216476998,binary,,CFMF-emb_10,6b0ed3f6-40f8-4f89-897c-ee2dc24d7cbc,space,binary,einstein,spacetime,motion
53,216476999,fallibilist,,Top2Vec_10,723f0291-cf89-429a-b44d-633aae3c0196,cartwright,woodward,fallibilist,intervention,interventionist
54,216477000,craving,,Top2Vec_48,28a5d6e5-b816-44fa-890f-eadeb74e9350,economist,microeconomic,economic,economics,craving
55,216477001,mutual,,NMF_50,59415677-9ed6-4616-bde0-34b8af9c187c,mutual,true,amp,predicate,prob
56,216477002,resolution,,CFMF-emb_51,e45203b2-72af-4938-8ff6-d766fb80dc18,resolution,cognitive,computational,brain,neural
57,216477003,connected,,LDA_25,4fbf39c1-d998-473e-8f2c-5c8e7d7086f9,make,say,know,connected,time
58,216477004,lucidly,,BERTopic_25,a510a1df-462c-46bb-860b-d5fa47ba484b,case,probability,hypothesis,evidence,lucidly
59,216477005,index,,CFMF-emb_51,b6e96e6f-3321-47f8-a301-231f7200f5f0,economic,market,index,economist,economics
60,216477006,alien,,CFMF-emb_10,f2780488-27aa-4d0e-9911-9ac932a9afe0,causal,causation,alien,cause,law
61,216477007,indefinitely,,CFMF-emb_24,5fa6e0cd-4bda-4cd5-a7fd-e0d687a55555,indefinitely,relativity,clock,einstein,spacetime
62,216477008,schelling,,BERTopic_54,85b4523e-4fd3-4203-8115-9c564c64e17d,bell,schelling,measurement,locality,quantum
63,216477009,epiphenomenalism,,CFMF-emb_10,1db78736-289a-4bcd-9b8b-a8b1613917f1,preference,game,player,agent,epiphenomenalism
64,216477010,morphological,,CFMF_50,7235047f-ba4e-49d7-9cff-c3a9170d7d15,morphological,peirce,husserl,whewell,abduction
65,216477011,insular,,BERTopic_25,74125d9c-7c61-4d50-9777-31a828f3a641,cause,causal,causation,insular,event
66,216477012,incompatibilist,,LDA_10,bc05e6b1-700e-416f-9012-7bbcd86fc4de,causal,property,system,incompatibilist,state
67,216477013,ongoing,,NMF_50,7d11e44c-a8ce-4d98-8ce0-811a497fa6f4,confirm,ongoing,raven,paradox,black
68,216477014,spoon,True,CONTROL,6f80317i-9j01-2345-fg67-hi89jk012345,earth,mars,venus,jupiter,spoon
69,216477015,noncausal,,NMF_50,ca5a8d2f-ac2b-4304-9ec9-97ae79012265,color,red,phenomenal,noncausal,colour
70,216477016,site,,CFMF_50,d8bbe9e3-6c88-4555-b756-fe71c0ebc0c6,euclidean,geometry,space,site,geometrical
71,216477017,heidegger,,CFMF_25,4ad2da3d-714a-44bc-ab4c-ef11558be0a1,epistemic,doxastic,belief,justification,heidegger
72,216477018,debilitating,,Top2Vec_25,8d7734ae-587b-4596-bf52-36e3827ae88f,replicator,huttegger,debilitating,payoff,signalers
73,216477019,complementation,,LDA_10,dfc958bb-1a00-4934-a8ca-54fe6a0e0520,evolutionary,selection,population,organism,complementation
74,216477020,stipulate,,LDA_54,d4155ce8-0a20-4375-b03e-1e20e749a64a,theory,stipulate,realism,scientific,realist
75,216477021,commonality,,CFMF_50,855c5bc7-06fe-4d8c-aba4-50256c607e13,commonality,chemical,substance,chemistry,chemist
76,216477022,rheticus,,Top2Vec_10,2bff81fe-a997-4feb-a7db-37d862e22955,antirealists,psillos,pessimistic,realist,rheticus
77,216477023,normic,,Top2Vec_48,6175b616-4c91-4297-ac94-0d7c167c03af,normic,turing,computing,machine,computer
78,216477024,irreflexive,,LDA_25,cad4e9c0-d39c-4fec-bf41-2cadcff72976,mathematical,mathematics,irreflexive,number,proof
79,216477025,enlightenment,,CFMF-emb_51,90774f50-e5e1-41dd-932a-269fe793d239,enlightenment,speaker,semantic,sentence,utterance
80,216477026,announcement,,LDA_54,5bf1c4c6-82bf-4f96-9662-96c40dfb3c41,experience,perception,color,object,announcement
81,216477027,nonindexical,,CFMF-emb_51,d7a14ad5-9df6-44e4-b7bb-00bcee9086ca,tense,nonindexical,spacetime,event,temporal
82,216477028,horgan,,BERTopic_54,0e693461-7cda-47b0-bac0-06bdf5230b10,horgan,truthlikeness,theory,verisimilitude,truth
83,216477029,cloth,,CFMF_50,a012903d-dc45-4473-a60b-0b0d0dab89e9,cloth,causation,event,cause,causal
84,216477030,noxious,,BERTopic_25,bdafc300-7516-4fdf-832e-e844f0083657,chemical,substance,chemist,chemistry,noxious
85,216477031,ols,,Top2Vec_10,82e6a332-8dd7-40bf-ac13-05dd33a09dfe,neural,cortex,ols,neuroscience,processing
86,216477032,cru,,NMF_25,ea5074d2-d1bf-4c85-9863-488e52dc4e7d,kant,cru,transcendental,concept,priori
