,id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
63,216476921,convene,,BERTopic_54,19ad65e7-5a8f-4bfa-8d71-050dc5088b6e,success,theory,convene,realist,realism
64,216476922,arbitrariness,,Top2Vec_48,78b63ecd-904f-4656-8a5f-57dbc0785f09,arbitrariness,propen,mise,fetzer,propensity
65,216476923,characterisation,,CFMF_50,55d014a2-c5fc-431b-85e0-06d8e1fca9e2,supervenience,characterisation,reduction,emergence,emergent
66,216476924,insert,,CFMF-emb_51,f7b52a14-8fb5-486d-a844-892a6be34711,insert,reduction,micro,emergence,emergent
67,216476925,rees,,BERTopic_54,c94f9ef4-5dbd-406e-a1cb-4c34e652a286,obligation,action,moral,rees,reason
68,216476926,mistake,,CFMF-emb_24,bc07dfc7-6545-4bbb-8543-b15c4e14abe0,newton,body,mistake,motion,galileo
69,216476927,routledge,,LDA_54,b65a64de-d5ec-4e99-8675-32f22f98a1b4,routledge,hypothesis,confirmation,confirm,evidence
70,216476928,connected,,LDA_54,9ea03b02-48ef-45e0-aecd-f7cb3f01091a,connected,value,group,individual,social
71,216476929,run,,CFMF_50,33e9f720-0f5f-4b12-aba8-e7cf4e856123,language,schlick,neurath,run,carnap
72,216476930,shatter,,BERTopic_54,53344bc1-47f8-4cac-88cc-d9fa5026368a,shatter,kant,transcendental,object,experience
73,216476931,empiricism,,CFMF-emb_51,be0a2a19-2b55-4330-983c-b3df3c130490,gauge,particle,symmetry,empiricism,quantum
74,216476932,lichtenberg,,LDA_54,d336ce87-d706-4bc0-8ec9-9b0c34649678,lichtenberg,future,universe,time,event
75,216476933,instinct,,NMF_25,78b4ac1b-dfc0-44ac-814c-7d0e08d22787,law,system,statement,instinct,regularity
76,216476934,delimit,,NMF_50,6f72ea6d-9279-4f10-9501-ba23262be338,law,statement,regularity,delimit,generalization
77,216476935,hammer,True,CONTROL,c436973o-5p67-8901-lm23-no45pq678901,shirt,jacket,pants,shoes,hammer
78,216476936,entrust,,BERTopic_54,49b80af8-6874-40d9-9b9e-2c06bea8bd85,entrust,borderline,vague,vagueness,predicate
79,216476937,lesson,,CFMF-emb_51,6f6f1839-54d4-44a4-a29a-5b85e6b61509,galileo,kepler,motion,lesson,dee
80,216476938,trautman,,BERTopic_54,6634ffea-94d3-4d3e-a316-6373d41c31c2,state,trautman,mental,property,cognitive
81,216476939,environmental,,CFMF-emb_51,007be8aa-e0a1-4dd0-8d07-948f7f7f3a0d,substance,chemical,chemistry,atom,environmental
82,216476940,institutional,,CFMF_25,61394f6b-c671-4d60-b0d9-635bfdd9bfc7,utility,preference,agent,institutional,credence
83,216476941,gram,,BERTopic_54,fdf29f1a-ca3d-4292-9713-990ee13f84dd,gram,agent,disagreement,peer,epistemic
84,216476942,justice,,CFMF-emb_51,f0e31730-4099-479d-b2b5-831782064603,chance,propensity,frequency,justice,probability
85,216476943,convex,,CFMF-emb_51,5849c5e2-323d-494c-9b43-ee25ebb0477d,convex,epistemic,belief,knowledge,justification
86,216476944,plemented,,BERTopic_54,1ebc8088-35b6-4789-b7f6-b2540d2043d5,freud,psychoanalysis,psychology,patient,plemented
87,216476945,bookkeeping,,NMF_10,44ce8bb1-831f-40b4-a35d-1f8d150cc88e,bookkeeping,belief,agent,believe,epistemic
