id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
216476814,hang,,CFMF_25,2b0c5f63-40ff-4dd3-a3c2-978e5b9b2298,feyerabend,kuhn,paradigm,hang,incommensurability
216476815,duality,,CFMF-emb_24,1b26bf91-abd3-4e1b-bcd2-dec0a9f9f18e,energy,entropy,equilibrium,law,duality
216476816,itions,,BERTopic_54,43386825-b4f9-4590-b180-2890e0655013,itions,abduction,explanation,hypothesis,ibe
216476817,synchronic,,CFMF_50,faf7abd1-ee27-40cf-9c6a-dfae18437424,galileo,synchronic,kepler,newton,motion
216476818,imperialistic,,BERTopic_25,8e625908-3dcb-4a1b-ba68-8625f01da5cb,time,system,entropy,imperialistic,state
216476819,gdr,,BERTopic_25,88803756-c13b-433a-99c1-2392b1f907e0,selection,gene,gdr,organism,population
216476820,spoon,True,CONTROL,6f80317i-9j01-2345-fg67-hi89jk012345,earth,mars,venus,jupiter,spoon
216476821,equalize,,NMF_50,925c0325-41a7-4280-ad0f-2a8de0a6ce1e,selection,fitness,population,equalize,trait
216476822,hardcastle,,BERTopic_10,18cb611d-d3cc-48a6-9098-ca683c6f7c9b,hardcastle,scientific,use,science,theory
216476823,lettuce,True,CONTROL,a214751m-3n45-6789-jk01-lm23no456789,python,java,c++,ruby,lettuce
216476824,compton,,NMF_25,4f5786ba-d946-4b4e-8e8a-0b1d2de80418,propensity,probability,frequency,distribution,compton
216476825,yang,,BERTopic_10,72957122-2328-4ae2-8e9f-1a92abe2409e,mental,yang,property,state,object
216476826,strawson,,Top2Vec_10,c10264ff-0f22-4e1a-a5eb-049ac085e244,scientific,strawson,scientist,political,longino
216476827,binary,,LDA_10,21084a9e-61f2-466a-8dc2-2374d7438b4f,case,binary,belief,believe,knowledge
216476828,unsuite,,LDA_54,6953c2ce-017c-43ad-8fca-4dfb7c7715a8,unsuite,concept,term,kind,definition
216476829,inhabit,,NMF_50,11d07a2e-e981-4789-88ef-9e0bd0e879f5,inhabit,warrant,know,epistemic,knowledge
216476830,ical,,CFMF-emb_51,a00b4a87-08e0-44fe-93a0-f62a13e19835,ceteris,paribus,law,ical,regularity
216476831,trautman,,BERTopic_25,ecfa6985-173a-4bb1-9337-0192392201ce,state,trautman,mental,property,cognitive
216476832,speaking,,NMF_10,3832c6af-a21a-4bba-a1db-25e988f28e29,theory,speaking,quantum,particle,space
216476833,interpreter,,CFMF-emb_24,a8d169b5-d6c1-4137-8457-3ca57bff79ec,measurement,interpreter,quantum,particle,mechanic
216476834,mula,,NMF_50,1c7dfb9c-8906-4557-be85-8c20e2c71b3d,measurement,state,quantum,mula,mechanic
216476835,humeans,,NMF_25,aad32f53-3ae9-4642-b111-91daa9968aa5,organism,species,gene,specie,humeans
216476836,ask,,NMF_25,039a108c-add4-491c-a4c1-e68779ffc0ca,theorem,ask,axiom,proof,set
216476837,contemplative,,Top2Vec_48,4bbfae8a-9178-4499-af0c-45b6b41a42e6,dispositionality,disposition,mumford,contemplative,dispositional
216476838,follower,,NMF_50,fe46f5ac-6786-4f83-9381-26952b87786c,follower,relation,identity,substance,trope
216476839,varzi,,NMF_50,65b1d3bc-6bf7-4f75-98f4-37bb56bac54e,field,gauge,varzi,symmetry,higgs
216476840,backward,,CFMF_50,94c65079-4db3-4db9-87a4-ef79299b0424,backward,morality,morally,moral,emotion
216476841,implicative,,CFMF-emb_51,55d4d993-70c3-4634-8b61-0d2e7d92a730,probability,implicative,utility,credence,bet
216476842,perplexity,,BERTopic_54,884a3c18-4acb-4789-bce3-bc6cebac0d7e,perplexity,measurement,scale,measure,quantity
216476843,octopus,True,CONTROL,e658b95q-7r89-0123-no45-pq67rs890123,doctor,nurse,teacher,engineer,octopus
216476844,controlling,,LDA_54,19c84ae0-6d3e-49f5-b131-35b22af779a1,explanatory,explain,law,controlling,explanation
216476845,sahlin,,LDA_25,27799d01-b6c6-47f4-be40-f6efbcef696f,measure,sahlin,probability,value,evidence
216476846,stative,,BERTopic_54,d166dee4-0a76-4cbf-968f-cd958e1bbc65,player,stative,equilibrium,game,strategy
216476847,eliminability,,BERTopic_54,07ce545e-ab51-4f74-8943-5ce92a66665e,agent,belief,revision,set,eliminability
216476848,rudolf,,BERTopic_25,ef50ee5f-3843-4069-ab9f-96f10f9e32d1,knowledge,belief,epistemic,rudolf,know
216476849,therapy,,CFMF-emb_51,8ea6c64c-876f-4bbd-ae35-fa04e16b09e6,lewis,conditionals,therapy,modal,logic
216476850,slap,,NMF_50,3190c248-e9b3-4eb3-838a-3d59803b34e5,slap,machine,turing,computer,simulation
216476851,submit,,CFMF-emb_51,144988ac-52cf-41d7-b3a3-36decb77c64b,science,social,sociology,submit,society
216476852,organized,,Top2Vec_25,ad7ba362-759a-4c18-8410-a021aad761e5,conscience,dostoevsky,spiritual,organized,mankind
216476853,loschmidt,,CFMF-emb_51,0ea5c850-6e19-4dfc-b7b5-00efa63ba2fe,spin,loschmidt,quantum,particle,measurement
216476854,neopositivism,,BERTopic_54,7afcca9d-9982-4074-900c-0b8621041ef7,neopositivism,newton,galileo,body,motion
216476855,terribly,,LDA_54,272a67dc-3d9c-4146-b241-69cd0802d087,terribly,epistemic,believe,knowledge,belief
216476856,automatic,,NMF_10,eef4fcb2-7f52-4520-a100-0ffef2eb0e75,confirm,evidence,confirmation,hypothesis,automatic
216476857,indo,,LDA_54,4e1042f5-5411-4573-b9ab-9c811a32177c,philosophy,indo,science,scientific,knowledge
