id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
216476322,,<b>scientific</b><br>phenotypic<br>reproductive<br>gene<br><b>political</b><br><b>longino</b><br><b>scientist</b><br>phenotype,"[7, 3]","['gene', 'phenotypic', 'phenotype', 'reproductive', 'scientist', 'longino', 'scientific', 'political']",0,0.6125164031982422,mix_7_3_closest,"['gene', 'phenotypic', 'phenotype', 'reproductive']","['scientist', 'longino', 'scientific', 'political']",Top2Vec_10
216476323,,<b>velocity</b><br>signal<br>time<br>simultaneity<br><b>einstein</b><br><b>clock</b><br>relativity<br><b>lorentz</b>,[23],"['clock', 'velocity', 'lorentz', 'einstein', 'time', 'relativity', 'simultaneity', 'signal']",-1,1.0,single,"['clock', 'velocity', 'lorentz', 'einstein']","['time', 'relativity', 'simultaneity', 'signal']",NMF_25
216476325,,involuntarism<br><b>bivs</b><br>blameworthy<br><b>justified</b><br><b>justification</b><br>steup<br>ravizza<br><b>reliabilist</b>,"[5, 41]","['justified', 'reliabilist', 'justification', 'bivs', 'involuntarism', 'steup', 'ravizza', 'blameworthy']",0,0.7916721701622009,mix_5_41_closest,"['justified', 'reliabilist', 'justification', 'bivs']","['involuntarism', 'steup', 'ravizza', 'blameworthy']",Top2Vec_48
216476326,,<b>bisimilar</b><br>benthem<br>fagin<br>ditmarsch<br><b>announcement</b><br><b>baltag</b><br><b>seriality</b><br>gerbrandy,[16],"['ditmarsch', 'benthem', 'gerbrandy', 'fagin', 'seriality', 'baltag', 'bisimilar', 'announcement']",-1,1.0,single,"['ditmarsch', 'benthem', 'gerbrandy', 'fagin']","['seriality', 'baltag', 'bisimilar', 'announcement']",Top2Vec_48
216476327,,<b>chemical</b><br><b>chemistry</b><br>bond<br>molecule<br><b>substance</b><br>chemist<br>electron<br><b>atom</b>,[1],"['chemical', 'chemistry', 'atom', 'substance', 'chemist', 'molecule', 'bond', 'electron']",-1,1.0,single,"['chemical', 'chemistry', 'atom', 'substance']","['chemist', 'molecule', 'bond', 'electron']",CFMF-emb_51
216476328,,<b>causation</b><br><b>cause</b><br>disposition<br>mental<br><b>effect</b><br><b>causal</b><br>physical<br>property,"[6, 9]","['causal', 'cause', 'causation', 'effect', 'property', 'physical', 'mental', 'disposition']",0,0.7092915773391724,mix_6_9_closest,"['causal', 'cause', 'causation', 'effect']","['property', 'physical', 'mental', 'disposition']",LDA_54
216476329,,linguistics<br><b>quantifier</b><br>grammar<br><b>tarski</b><br><b>frege</b><br><b>sentence</b><br>linguist<br>chomsky,"[30, 0]","['chomsky', 'grammar', 'linguist', 'linguistics', 'tarski', 'frege', 'quantifier', 'sentence']",0,0.7463089823722839,mix_30_0_closest,"['chomsky', 'grammar', 'linguist', 'linguistics']","['tarski', 'frege', 'quantifier', 'sentence']",Top2Vec_48
216476330,,<b>mechanic</b><br><b>interpretation</b><br>state<br>measurement<br>quantum<br><b>particle</b><br><b>value</b><br>system,[26],"['state', 'quantum', 'measurement', 'system', 'mechanic', 'particle', 'interpretation', 'value']",-1,1.0,single,"['state', 'quantum', 'measurement', 'system']","['mechanic', 'particle', 'interpretation', 'value']",LDA_54
216476331,,<b>scientific</b><br><b>science</b><br>culture<br><b>social</b><br>scientist<br><b>society</b><br>technology<br>research,[0],"['social', 'science', 'society', 'scientific', 'research', 'culture', 'technology', 'scientist']",-1,1.0,single,"['social', 'science', 'society', 'scientific']","['research', 'culture', 'technology', 'scientist']",CFMF_25
216476332,,scientific<br><b>truth</b><br>theory<br><b>successful</b><br><b>success</b><br><b>true</b><br>realist<br>realism,"[23, 27]","['realism', 'theory', 'realist', 'scientific', 'successful', 'success', 'truth', 'true']",0,0.793657660484314,mix_23_27_closest,"['realism', 'theory', 'realist', 'scientific']","['successful', 'success', 'truth', 'true']",BERTopic_54
216476333,,<b>biological</b><br>species<br><b>population</b><br>organism<br><b>concept</b><br>specie<br><b>evolutionary</b><br>taxon,[37],"['specie', 'species', 'organism', 'taxon', 'biological', 'evolutionary', 'population', 'concept']",-1,1.0,single,"['specie', 'species', 'organism', 'taxon']","['biological', 'evolutionary', 'population', 'concept']",NMF_50
216476334,,<b>selection</b><br><b>population</b><br>process<br>gene<br><b>evolutionary</b><br>biological<br>individual<br><b>organism</b>,[1],"['selection', 'population', 'organism', 'evolutionary', 'biological', 'gene', 'process', 'individual']",-1,1.0,single,"['selection', 'population', 'organism', 'evolutionary']","['biological', 'gene', 'process', 'individual']",LDA_10
216476335,,<b>quantum</b><br>boltzmann<br><b>operator</b><br>thermodynamic<br>entropy<br><b>mechanic</b><br>equilibrium<br><b>measurement</b>,"[5, 0]","['entropy', 'equilibrium', 'boltzmann', 'thermodynamic', 'quantum', 'measurement', 'mechanic', 'operator']",0,0.7278531789779663,mix_5_0_closest,"['entropy', 'equilibrium', 'boltzmann', 'thermodynamic']","['quantum', 'measurement', 'mechanic', 'operator']",CFMF_50
216476336,,<b>agent</b><br>strategy<br><b>action</b><br><b>decision</b><br><b>utility</b><br>game<br>player<br>equilibrium,"[10, 16]","['player', 'game', 'strategy', 'equilibrium', 'agent', 'action', 'utility', 'decision']",0,0.7021891474723816,mix_10_16_closest,"['player', 'game', 'strategy', 'equilibrium']","['agent', 'action', 'utility', 'decision']",NMF_25
216476337,,<b>rationality</b><br><b>lakatos</b><br>kuhn<br><b>popper</b><br>science<br>laudan<br><b>scientist</b><br>scientific,[20],"['kuhn', 'science', 'scientific', 'laudan', 'popper', 'scientist', 'lakatos', 'rationality']",-1,1.0,single,"['kuhn', 'science', 'scientific', 'laudan']","['popper', 'scientist', 'lakatos', 'rationality']",CFMF-emb_24
216476338,,<b>error</b><br>hypothesis<br>nan<br>neyman<br>test<br><b>probability</b><br><b>statistical</b><br><b>npt</b>,[47],"['test', 'hypothesis', 'nan', 'neyman', 'statistical', 'error', 'npt', 'probability']",-1,1.0,single,"['test', 'hypothesis', 'nan', 'neyman']","['statistical', 'error', 'npt', 'probability']",BERTopic_54
216476339,,bivs<br>reliabilist<br><b>gettier</b><br>justified<br><b>reliabilists</b><br><b>neta</b><br><b>sosa</b><br>justification,[5],"['justified', 'reliabilist', 'justification', 'bivs', 'sosa', 'gettier', 'reliabilists', 'neta']",-1,1.0,single,"['justified', 'reliabilist', 'justification', 'bivs']","['sosa', 'gettier', 'reliabilists', 'neta']",Top2Vec_48
216476341,,<b>organism</b><br><b>specie</b><br>biology<br>evolutionary<br><b>species</b><br>natural<br>evolution<br><b>biological</b>,[32],"['organism', 'specie', 'biological', 'species', 'evolutionary', 'biology', 'evolution', 'natural']",-1,1.0,single,"['organism', 'specie', 'biological', 'species']","['evolutionary', 'biology', 'evolution', 'natural']",LDA_54
216476342,,theory<br><b>spacetime</b><br><b>relativity</b><br>time<br><b>motion</b><br>space<br><b>einstein</b><br>point,[6],"['time', 'space', 'theory', 'point', 'relativity', 'einstein', 'motion', 'spacetime']",-1,1.0,single,"['time', 'space', 'theory', 'point']","['relativity', 'einstein', 'motion', 'spacetime']",BERTopic_10
216476343,,<b>organism</b><br>chemistry<br>cell<br><b>biological</b><br>chemical<br>molecular<br><b>species</b><br><b>specie</b>,"[45, 32]","['chemical', 'cell', 'molecular', 'chemistry', 'organism', 'specie', 'biological', 'species']",0,0.7041225433349609,mix_45_32_closest,"['chemical', 'cell', 'molecular', 'chemistry']","['organism', 'specie', 'biological', 'species']",LDA_54
216476344,,propen<br><b>expectability</b><br>propensity<br><b>frequency</b><br><b>toss</b><br><b>probability</b><br>mise<br>fetzer,[40],"['fetzer', 'propensity', 'propen', 'mise', 'expectability', 'frequency', 'toss', 'probability']",-1,1.0,single,"['fetzer', 'propensity', 'propen', 'mise']","['expectability', 'frequency', 'toss', 'probability']",Top2Vec_48
216476345,,explanatory<br><b>hume</b><br>understanding<br><b>inference</b><br>explanation<br><b>inductive</b><br><b>induction</b><br>law,"[8, 28]","['explanation', 'understanding', 'law', 'explanatory', 'induction', 'inductive', 'inference', 'hume']",0,0.769595742225647,mix_8_28_closest,"['explanation', 'understanding', 'law', 'explanatory']","['induction', 'inductive', 'inference', 'hume']",BERTopic_54
216476346,,probability<br><b>hypothesis</b><br><b>neyman</b><br>confirmation<br>confirm<br><b>test</b><br>evidence<br><b>nan</b>,"[47, 29]","['test', 'hypothesis', 'nan', 'neyman', 'confirmation', 'evidence', 'confirm', 'probability']",0,0.7352100014686584,mix_47_29_closest,"['test', 'hypothesis', 'nan', 'neyman']","['confirmation', 'evidence', 'confirm', 'probability']",BERTopic_54
216476347,,bayesian<br><b>epistemic</b><br><b>game</b><br>hypothesis<br><b>belief</b><br><b>agent</b><br>probability<br>confirmation,"[7, 1]","['probability', 'confirmation', 'hypothesis', 'bayesian', 'belief', 'agent', 'epistemic', 'game']",0,0.7114572525024414,mix_7_1_closest,"['probability', 'confirmation', 'hypothesis', 'bayesian']","['belief', 'agent', 'epistemic', 'game']",CFMF_10
216476348,,<b>dretske</b><br>informational<br>theory<br>message<br><b>probability</b><br><b>information</b><br>content<br><b>signal</b>,[23],"['information', 'dretske', 'signal', 'probability', 'theory', 'content', 'message', 'informational']",-1,1.0,single,"['information', 'dretske', 'signal', 'probability']","['theory', 'content', 'message', 'informational']",BERTopic_25
216476349,,<b>conscience</b><br>religion<br>glorification<br><b>mankind</b><br><b>spiritual</b><br>exalt<br><b>dostoevsky</b><br>jasper,[13],"['spiritual', 'conscience', 'dostoevsky', 'mankind', 'religion', 'glorification', 'jasper', 'exalt']",-1,1.0,single,"['spiritual', 'conscience', 'dostoevsky', 'mankind']","['religion', 'glorification', 'jasper', 'exalt']",Top2Vec_25
216476350,,agent<br>game<br><b>moral</b><br>preference<br><b>decision</b><br>player<br><b>utility</b><br><b>social</b>,[9],"['agent', 'player', 'game', 'preference', 'utility', 'social', 'moral', 'decision']",-1,1.0,single,"['agent', 'player', 'game', 'preference']","['utility', 'social', 'moral', 'decision']",CFMF-emb_10
216476351,,body<br>motion<br><b>force</b><br>newton<br><b>light</b><br><b>nature</b><br><b>descartes</b><br>galileo,[5],"['newton', 'motion', 'galileo', 'body', 'descartes', 'force', 'light', 'nature']",-1,1.0,single,"['newton', 'motion', 'galileo', 'body']","['descartes', 'force', 'light', 'nature']",BERTopic_54
216476352,,<b>organism</b><br>trait<br><b>gene</b><br>population<br>fitness<br>selection<br><b>specie</b><br><b>species</b>,"[8, 20]","['fitness', 'selection', 'population', 'trait', 'gene', 'organism', 'specie', 'species']",0,0.7930121421813965,mix_8_20_closest,"['fitness', 'selection', 'population', 'trait']","['gene', 'organism', 'specie', 'species']",NMF_25
216476353,,substance<br><b>bond</b><br><b>water</b><br>chemist<br><b>atom</b><br><b>molecule</b><br>chemical<br>chemistry,[15],"['chemical', 'chemistry', 'chemist', 'substance', 'atom', 'molecule', 'bond', 'water']",-1,1.0,single,"['chemical', 'chemistry', 'chemist', 'substance']","['atom', 'molecule', 'bond', 'water']",CFMF_50
216476354,,<b>action</b><br>payoff<br>strategy<br>player<br><b>agent</b><br><b>intention</b><br><b>belief</b><br>game,"[31, 39]","['agent', 'action', 'belief', 'intention', 'game', 'player', 'strategy', 'payoff']",0,0.7759246826171875,mix_31_39_closest,"['agent', 'action', 'belief', 'intention']","['game', 'player', 'strategy', 'payoff']",CFMF_50
216476355,,disposition<br><b>structure</b><br>physical<br><b>empirical</b><br>property<br><b>theoretical</b><br><b>theory</b><br>mental,"[9, 3]","['property', 'physical', 'mental', 'disposition', 'theory', 'theoretical', 'empirical', 'structure']",0,0.7505465745925903,mix_9_3_closest,"['property', 'physical', 'mental', 'disposition']","['theory', 'theoretical', 'empirical', 'structure']",LDA_54
216476356,,<b>finetti</b><br>multinomial<br>bayes<br><b>exchangeable</b><br><b>inductive</b><br>exchangeability<br><b>probability</b><br>carnap,[13],"['inductive', 'finetti', 'probability', 'exchangeable', 'multinomial', 'bayes', 'carnap', 'exchangeability']",-1,1.0,single,"['inductive', 'finetti', 'probability', 'exchangeable']","['multinomial', 'bayes', 'carnap', 'exchangeability']",Top2Vec_48
216476357,,<b>mathematics</b><br><b>axiom</b><br>theorem<br>mathematical<br><b>proof</b><br>sentence<br>formula<br><b>logic</b>,[1],"['mathematics', 'axiom', 'logic', 'proof', 'sentence', 'mathematical', 'theorem', 'formula']",-1,1.0,single,"['mathematics', 'axiom', 'logic', 'proof']","['sentence', 'mathematical', 'theorem', 'formula']",CFMF-emb_10
216476358,,<b>body</b><br><b>descartes</b><br><b>sun</b><br>motion<br>galileo<br>kepler<br><b>planet</b><br>newton,[22],"['galileo', 'newton', 'motion', 'kepler', 'descartes', 'body', 'planet', 'sun']",-1,1.0,single,"['galileo', 'newton', 'motion', 'kepler']","['descartes', 'body', 'planet', 'sun']",CFMF_50
216476359,,<b>proof</b><br>truth<br>proposition<br>true<br><b>set</b><br><b>theorem</b><br>world<br><b>axiom</b>,"[3, 15]","['axiom', 'set', 'theorem', 'proof', 'proposition', 'truth', 'true', 'world']",0,0.7052608728408813,mix_3_15_closest,"['axiom', 'set', 'theorem', 'proof']","['proposition', 'truth', 'true', 'world']",NMF_25
216476360,,variable<br><b>distribution</b><br>measurement<br>value<br><b>propensity</b><br>function<br><b>probability</b><br><b>frequency</b>,"[34, 1]","['value', 'variable', 'function', 'measurement', 'probability', 'frequency', 'distribution', 'propensity']",0,0.7230154275894165,mix_34_1_closest,"['value', 'variable', 'function', 'measurement']","['probability', 'frequency', 'distribution', 'propensity']",NMF_50
216476361,,<b>science</b><br>culture<br><b>society</b><br><b>social</b><br>scientist<br>cultural<br>research<br><b>sociology</b>,[7],"['social', 'science', 'society', 'sociology', 'culture', 'scientist', 'research', 'cultural']",-1,1.0,single,"['social', 'science', 'society', 'sociology']","['culture', 'scientist', 'research', 'cultural']",CFMF-emb_51
216476362,,<b>mechanism</b><br><b>functional</b><br>function<br>organism<br><b>mechanistic</b><br><b>teleological</b><br>artefact<br>trait,[34],"['mechanism', 'teleological', 'mechanistic', 'functional', 'organism', 'artefact', 'trait', 'function']",-1,1.0,single,"['mechanism', 'teleological', 'mechanistic', 'functional']","['organism', 'artefact', 'trait', 'function']",CFMF-emb_51
216476363,,<b>law</b><br>point<br><b>particle</b><br><b>force</b><br><b>energy</b><br>space<br>time<br>theory,"[11, 5]","['time', 'space', 'point', 'theory', 'law', 'particle', 'energy', 'force']",0,0.7460549473762512,mix_11_5_closest,"['time', 'space', 'point', 'theory']","['law', 'particle', 'energy', 'force']",LDA_25
216476364,,<b>bayesian</b><br><b>probability</b><br>conditionalization<br><b>bayesians</b><br>kyburg<br><b>bayes</b><br>confirmation<br>finetti,[0],"['bayesians', 'probability', 'bayes', 'bayesian', 'finetti', 'conditionalization', 'confirmation', 'kyburg']",-1,1.0,single,"['bayesians', 'probability', 'bayes', 'bayesian']","['finetti', 'conditionalization', 'confirmation', 'kyburg']",Top2Vec_25
216476365,,<b>time</b><br>equilibrium<br>reversal<br><b>state</b><br><b>entropy</b><br>law<br><b>system</b><br>thermodynamic,[13],"['entropy', 'time', 'system', 'state', 'equilibrium', 'reversal', 'thermodynamic', 'law']",-1,1.0,single,"['entropy', 'time', 'system', 'state']","['equilibrium', 'reversal', 'thermodynamic', 'law']",BERTopic_25
216476366,,<b>philosophy</b><br><b>scientific</b><br>research<br><b>science</b><br>knowledge<br><b>social</b><br>history<br>scientist,[0],"['science', 'scientific', 'social', 'philosophy', 'scientist', 'research', 'history', 'knowledge']",-1,1.0,single,"['science', 'scientific', 'social', 'philosophy']","['scientist', 'research', 'history', 'knowledge']",NMF_25
216476367,,<b>know</b><br><b>time</b><br>knowledge<br>concept<br><b>fact</b><br>science<br>experience<br><b>thing</b>,"[8, 20]","['know', 'time', 'thing', 'fact', 'concept', 'knowledge', 'experience', 'science']",0,0.7354240417480469,mix_8_20_closest,"['know', 'time', 'thing', 'fact']","['concept', 'knowledge', 'experience', 'science']",LDA_25
216476368,,<b>unconscious</b><br>freud<br>psychology<br><b>treatment</b><br>patient<br><b>psychoanalytic</b><br>psychoanalysis<br><b>psychotherapy</b>,[38],"['freud', 'psychology', 'patient', 'psychoanalysis', 'unconscious', 'psychoanalytic', 'treatment', 'psychotherapy']",-1,1.0,single,"['freud', 'psychology', 'patient', 'psychoanalysis']","['unconscious', 'psychoanalytic', 'treatment', 'psychotherapy']",BERTopic_54
216476369,,<b>sentence</b><br>language<br>truth<br>predicate<br><b>logic</b><br><b>logical</b><br>quine<br><b>carnap</b>,"[25, 32]","['logic', 'sentence', 'carnap', 'logical', 'quine', 'truth', 'predicate', 'language']",0,0.8415945768356323,mix_25_32_closest,"['logic', 'sentence', 'carnap', 'logical']","['quine', 'truth', 'predicate', 'language']",CFMF-emb_51
216476370,,statistical<br><b>finetti</b><br><b>distribution</b><br>probability<br><b>sample</b><br>frequency<br><b>datum</b><br>hypothesis,[6],"['probability', 'frequency', 'statistical', 'hypothesis', 'distribution', 'datum', 'sample', 'finetti']",-1,1.0,single,"['probability', 'frequency', 'statistical', 'hypothesis']","['distribution', 'datum', 'sample', 'finetti']",CFMF_50
216476371,,<b>time</b><br>field<br><b>motion</b><br><b>force</b><br>theory<br><b>einstein</b><br>quantum<br>particle,"[35, 25]","['force', 'motion', 'einstein', 'time', 'particle', 'quantum', 'field', 'theory']",0,0.7438340187072754,mix_35_25_closest,"['force', 'motion', 'einstein', 'time']","['particle', 'quantum', 'field', 'theory']",LDA_54
216476372,,<b>sociologist</b><br>kuhnian<br><b>sociology</b><br>lakatos<br>kuhn<br><b>sociological</b><br>laudan<br><b>bloor</b>,"[6, 25]","['kuhn', 'laudan', 'kuhnian', 'lakatos', 'sociologist', 'bloor', 'sociological', 'sociology']",0,0.7694244384765625,mix_6_25_closest,"['kuhn', 'laudan', 'kuhnian', 'lakatos']","['sociologist', 'bloor', 'sociological', 'sociology']",Top2Vec_48
216476373,,<b>beauty</b><br><b>chance</b><br>head<br>agent<br>monday<br><b>credence</b><br><b>bet</b><br>coin,[24],"['credence', 'chance', 'bet', 'beauty', 'monday', 'agent', 'head', 'coin']",-1,1.0,single,"['credence', 'chance', 'bet', 'beauty']","['monday', 'agent', 'head', 'coin']",NMF_25
216476374,,shogenji<br><b>epistemic</b><br><b>belief</b><br><b>doxastic</b><br>testimony<br><b>justification</b><br>ibe<br>coherence,"[35, 46]","['coherence', 'ibe', 'shogenji', 'testimony', 'belief', 'epistemic', 'justification', 'doxastic']",0,0.8086873292922974,mix_35_46_closest,"['coherence', 'ibe', 'shogenji', 'testimony']","['belief', 'epistemic', 'justification', 'doxastic']",CFMF_50
216476375,,<b>theory</b><br>philosophy<br><b>term</b><br>scientist<br>science<br><b>empirical</b><br>scientific<br><b>theoretical</b>,"[4, 29]","['science', 'scientific', 'philosophy', 'scientist', 'theory', 'theoretical', 'empirical', 'term']",0,0.7940087914466858,mix_4_29_closest,"['science', 'scientific', 'philosophy', 'scientist']","['theory', 'theoretical', 'empirical', 'term']",NMF_50
216476376,,<b>faraday</b><br><b>electromagnetic</b><br><b>ampere</b><br>relativity<br>relativistic<br>inertial<br><b>maxwell</b><br>spacetime,"[3, 18]","['spacetime', 'relativistic', 'relativity', 'inertial', 'maxwell', 'faraday', 'electromagnetic', 'ampere']",0,0.7381577491760254,mix_3_18_closest,"['spacetime', 'relativistic', 'relativity', 'inertial']","['maxwell', 'faraday', 'electromagnetic', 'ampere']",Top2Vec_48
216476377,,confirm<br>evidence<br><b>case</b><br>hypothesis<br><b>degree</b><br><b>measure</b><br><b>support</b><br>confirmation,[5],"['hypothesis', 'evidence', 'confirmation', 'confirm', 'support', 'case', 'degree', 'measure']",-1,1.0,single,"['hypothesis', 'evidence', 'confirmation', 'confirm']","['support', 'case', 'degree', 'measure']",LDA_54
