,id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
15,216476444,,geometry<br><b>relativity</b><br>space<br><b>lorentz</b><br>spacetime<br><b>clock</b><br><b>einstein</b><br>universe,"[12, 22]","['spacetime', 'space', 'universe', 'geometry', 'einstein', 'clock', 'lorentz', 'relativity']",0,0.7823838591575623,mix_12_22_closest,"['spacetime', 'space', 'universe', 'geometry']","['einstein', 'clock', 'lorentz', 'relativity']",CFMF-emb_51
16,216476445,,truthlikeness<br><b>content</b><br>truth<br><b>miller</b><br><b>true</b><br><b>false</b><br>theory<br>verisimilitude,[40],"['verisimilitude', 'truth', 'truthlikeness', 'theory', 'content', 'miller', 'true', 'false']",-1,1.0,single,"['verisimilitude', 'truth', 'truthlikeness', 'theory']","['content', 'miller', 'true', 'false']",BERTopic_54
17,216476446,,economist<br><b>commodity</b><br><b>price</b><br>economic<br><b>equilibrium</b><br>economics<br><b>economy</b><br>market,[6],"['economic', 'economics', 'economist', 'market', 'price', 'economy', 'equilibrium', 'commodity']",-1,1.0,single,"['economic', 'economics', 'economist', 'market']","['price', 'economy', 'equilibrium', 'commodity']",CFMF-emb_51
18,216476447,,laudan<br><b>scientific</b><br>rationality<br><b>kuhn</b><br><b>paradigm</b><br>popper<br>science<br><b>incommensurability</b>,"[2, 16]","['kuhn', 'incommensurability', 'paradigm', 'scientific', 'laudan', 'popper', 'science', 'rationality']",0,0.825340211391449,mix_2_16_closest,"['kuhn', 'incommensurability', 'paradigm', 'scientific']","['laudan', 'popper', 'science', 'rationality']",CFMF-emb_51
19,216476450,,<b>confirmation</b><br>confirm<br>black<br><b>evidence</b><br><b>hypothesis</b><br>bayesian<br><b>raven</b><br>test,[13],"['hypothesis', 'confirmation', 'raven', 'evidence', 'confirm', 'black', 'test', 'bayesian']",-1,1.0,single,"['hypothesis', 'confirmation', 'raven', 'evidence']","['confirm', 'black', 'test', 'bayesian']",NMF_25
20,216476451,,hypothesis<br><b>datum</b><br>theory<br><b>use</b><br><b>experiment</b><br>scientific<br><b>test</b><br>science,"[0, 12]","['experiment', 'datum', 'test', 'use', 'theory', 'scientific', 'science', 'hypothesis']",0,0.7361102104187012,mix_0_12_closest,"['experiment', 'datum', 'test', 'use']","['theory', 'scientific', 'science', 'hypothesis']",LDA_25
21,216476452,,<b>bell</b><br>boolean<br>logic<br><b>state</b><br>quantum<br>lattice<br><b>locality</b><br><b>measurement</b>,"[43, 26]","['quantum', 'logic', 'lattice', 'boolean', 'bell', 'measurement', 'state', 'locality']",0,0.7787253856658936,mix_43_26_closest,"['quantum', 'logic', 'lattice', 'boolean']","['bell', 'measurement', 'state', 'locality']",BERTopic_54
22,216476453,,future<br><b>temporal</b><br>event<br><b>present</b><br><b>history</b><br><b>state</b><br>universe<br>time,[40],"['time', 'event', 'future', 'universe', 'temporal', 'present', 'history', 'state']",-1,1.0,single,"['time', 'event', 'future', 'universe']","['temporal', 'present', 'history', 'state']",LDA_54
23,216476454,,kuhnian<br><b>incommensurability</b><br><b>doppelt</b><br>kuhn<br><b>progressiveness</b><br>laudan<br><b>paradigm</b><br>lakatos,[6],"['kuhn', 'laudan', 'kuhnian', 'lakatos', 'doppelt', 'paradigm', 'progressiveness', 'incommensurability']",-1,1.0,single,"['kuhn', 'laudan', 'kuhnian', 'lakatos']","['doppelt', 'paradigm', 'progressiveness', 'incommensurability']",Top2Vec_48
24,216476456,,<b>simplicity</b><br><b>hypothesis</b><br><b>curve</b><br>theory<br>model<br>datum<br>parameter<br><b>parsimony</b>,[42],"['simplicity', 'curve', 'parsimony', 'hypothesis', 'model', 'parameter', 'datum', 'theory']",-1,1.0,single,"['simplicity', 'curve', 'parsimony', 'hypothesis']","['model', 'parameter', 'datum', 'theory']",BERTopic_54
25,216476457,,causation<br><b>case</b><br><b>event</b><br>causal<br><b>condition</b><br>cause<br><b>variable</b><br>effect,[6],"['causal', 'cause', 'causation', 'effect', 'event', 'variable', 'condition', 'case']",-1,1.0,single,"['causal', 'cause', 'causation', 'effect']","['event', 'variable', 'condition', 'case']",LDA_54
26,216476458,,system<br>representation<br><b>cognitive</b><br>model<br><b>property</b><br>target<br><b>state</b><br><b>mental</b>,"[2, 12]","['mental', 'property', 'state', 'cognitive', 'model', 'representation', 'system', 'target']",0,0.7901298999786377,mix_2_12_closest,"['mental', 'property', 'state', 'cognitive']","['model', 'representation', 'system', 'target']",BERTopic_25
27,216476460,,<b>sense</b><br>relation<br><b>nature</b><br>property<br>world<br><b>physical</b><br>object<br><b>fact</b>,"[7, 30]","['world', 'object', 'relation', 'property', 'nature', 'physical', 'fact', 'sense']",0,0.8056836128234863,mix_7_30_closest,"['world', 'object', 'relation', 'property']","['nature', 'physical', 'fact', 'sense']",LDA_54
28,216476461,,<b>van</b><br>scientific<br><b>entity</b><br>realism<br><b>success</b><br>realist<br><b>good</b><br>theory,[50],"['theory', 'realism', 'realist', 'scientific', 'success', 'entity', 'van', 'good']",-1,1.0,single,"['theory', 'realism', 'realist', 'scientific']","['success', 'entity', 'van', 'good']",LDA_54
29,216476462,,quantum<br>theory<br><b>energy</b><br><b>temperature</b><br>particle<br><b>law</b><br><b>gas</b><br>field,"[12, 25]","['law', 'energy', 'temperature', 'gas', 'particle', 'quantum', 'field', 'theory']",0,0.7556711435317993,mix_12_25_closest,"['law', 'energy', 'temperature', 'gas']","['particle', 'quantum', 'field', 'theory']",LDA_54
30,216476463,,inductive<br><b>explanation</b><br><b>abduction</b><br>hume<br><b>hypothesis</b><br><b>ibe</b><br>inference<br>induction,"[52, 28]","['ibe', 'hypothesis', 'explanation', 'abduction', 'induction', 'inductive', 'inference', 'hume']",0,0.7923388481140137,mix_52_28_closest,"['ibe', 'hypothesis', 'explanation', 'abduction']","['induction', 'inductive', 'inference', 'hume']",BERTopic_54
31,216476464,,<b>whitehead</b><br><b>universe</b><br><b>leibniz</b><br>einstein<br>relativity<br><b>instant</b><br>clock<br>spacetime,"[7, 19]","['universe', 'leibniz', 'whitehead', 'instant', 'spacetime', 'einstein', 'clock', 'relativity']",0,0.7546694278717041,mix_7_19_closest,"['universe', 'leibniz', 'whitehead', 'instant']","['spacetime', 'einstein', 'clock', 'relativity']",CFMF_50
32,216476465,,experience<br><b>state</b><br><b>mental</b><br>object<br><b>property</b><br>physical<br><b>cognitive</b><br>content,[2],"['mental', 'property', 'state', 'cognitive', 'experience', 'physical', 'object', 'content']",-1,1.0,single,"['mental', 'property', 'state', 'cognitive']","['experience', 'physical', 'object', 'content']",BERTopic_54
33,216476466,,<b>value</b><br><b>measurement</b><br>parameter<br>measure<br><b>function</b><br><b>variable</b><br>distribution<br>quantity,[34],"['value', 'variable', 'function', 'measurement', 'measure', 'distribution', 'quantity', 'parameter']",-1,1.0,single,"['value', 'variable', 'function', 'measurement']","['measure', 'distribution', 'quantity', 'parameter']",NMF_50
34,216476467,,<b>civilization</b><br>conscience<br>spiritual<br>dostoevsky<br><b>lundberg</b><br><b>society</b><br>religion<br><b>mankind</b>,"[3, 13]","['mankind', 'lundberg', 'society', 'civilization', 'spiritual', 'conscience', 'dostoevsky', 'religion']",0,0.797931969165802,mix_3_13_closest,"['mankind', 'lundberg', 'society', 'civilization']","['spiritual', 'conscience', 'dostoevsky', 'religion']",Top2Vec_25
35,216476468,,<b>kuhn</b><br><b>feyerabend</b><br>rationality<br>whewell<br><b>paradigm</b><br><b>incommensurability</b><br>laudan<br>duhem,"[7, 4]","['kuhn', 'feyerabend', 'incommensurability', 'paradigm', 'laudan', 'duhem', 'whewell', 'rationality']",0,0.789267361164093,mix_7_4_closest,"['kuhn', 'feyerabend', 'incommensurability', 'paradigm']","['laudan', 'duhem', 'whewell', 'rationality']",CFMF_25
36,216476469,,<b>judgment</b><br><b>intuition</b><br><b>empirical</b><br>transcendental<br>kant<br>priori<br><b>kantian</b><br>concept,[22],"['kant', 'concept', 'transcendental', 'priori', 'intuition', 'judgment', 'kantian', 'empirical']",-1,1.0,single,"['kant', 'concept', 'transcendental', 'priori']","['intuition', 'judgment', 'kantian', 'empirical']",NMF_50
37,216476470,,individual<br><b>society</b><br><b>research</b><br>group<br>value<br><b>community</b><br><b>economic</b><br>social,[52],"['social', 'individual', 'group', 'value', 'research', 'economic', 'community', 'society']",-1,1.0,single,"['social', 'individual', 'group', 'value']","['research', 'economic', 'community', 'society']",LDA_54
38,216476471,,<b>inertial</b><br><b>spacetime</b><br>batterman<br>idealization<br><b>relativistic</b><br>approximation<br>idealize<br><b>relativity</b>,"[7, 12]","['inertial', 'spacetime', 'relativity', 'relativistic', 'idealization', 'batterman', 'idealize', 'approximation']",0,0.6849457621574402,mix_7_12_closest,"['inertial', 'spacetime', 'relativity', 'relativistic']","['idealization', 'batterman', 'idealize', 'approximation']",Top2Vec_25
39,216476472,,fitness<br>population<br><b>drift</b><br><b>group</b><br><b>evolutionary</b><br><b>individual</b><br>selection<br>trait,[8],"['fitness', 'selection', 'population', 'trait', 'group', 'drift', 'evolutionary', 'individual']",-1,1.0,single,"['fitness', 'selection', 'population', 'trait']","['group', 'drift', 'evolutionary', 'individual']",NMF_50
40,216476473,,<b>carnap</b><br><b>language</b><br><b>neurath</b><br>aufbau<br>sentence<br>science<br>protocol<br><b>schlick</b>,[42],"['carnap', 'neurath', 'schlick', 'language', 'sentence', 'protocol', 'science', 'aufbau']",-1,1.0,single,"['carnap', 'neurath', 'schlick', 'language']","['sentence', 'protocol', 'science', 'aufbau']",CFMF_50
41,216476474,,chemistry<br><b>micro</b><br><b>reduction</b><br>atom<br>substance<br><b>emergent</b><br><b>emergence</b><br>chemical,"[1, 15]","['chemical', 'chemistry', 'atom', 'substance', 'reduction', 'emergence', 'emergent', 'micro']",0,0.6978863477706909,mix_1_15_closest,"['chemical', 'chemistry', 'atom', 'substance']","['reduction', 'emergence', 'emergent', 'micro']",CFMF-emb_51
42,216476475,,<b>market</b><br>economist<br>economic<br><b>microeconomics</b><br>economics<br><b>neoclassical</b><br>microeconomic<br><b>walras</b>,[38],"['economist', 'economic', 'economics', 'microeconomic', 'market', 'neoclassical', 'microeconomics', 'walras']",-1,1.0,single,"['economist', 'economic', 'economics', 'microeconomic']","['market', 'neoclassical', 'microeconomics', 'walras']",Top2Vec_48
43,216476476,,moral<br>reason<br>action<br><b>knowledge</b><br>obligation<br><b>epistemic</b><br><b>belief</b><br><b>know</b>,"[12, 3]","['moral', 'reason', 'action', 'obligation', 'belief', 'knowledge', 'epistemic', 'know']",0,0.7326189875602722,mix_12_3_closest,"['moral', 'reason', 'action', 'obligation']","['belief', 'knowledge', 'epistemic', 'know']",BERTopic_54
44,216476477,,<b>agent</b><br><b>warrant</b><br>belief<br><b>knowledge</b><br>epistemic<br>doxastic<br><b>proposition</b><br>justification,[20],"['belief', 'epistemic', 'justification', 'doxastic', 'knowledge', 'proposition', 'warrant', 'agent']",-1,1.0,single,"['belief', 'epistemic', 'justification', 'doxastic']","['knowledge', 'proposition', 'warrant', 'agent']",CFMF_25
45,216476478,,<b>truth</b><br>causal<br>system<br>property<br><b>true</b><br><b>language</b><br><b>sentence</b><br>state,"[7, 6]","['property', 'causal', 'state', 'system', 'sentence', 'language', 'truth', 'true']",0,0.7689514756202698,mix_7_6_closest,"['property', 'causal', 'state', 'system']","['sentence', 'language', 'truth', 'true']",LDA_10
46,216476479,,god<br><b>object</b><br><b>world</b><br><b>property</b><br>descartes<br><b>relation</b><br>aristotle<br>body,"[33, 7]","['body', 'aristotle', 'god', 'descartes', 'world', 'object', 'relation', 'property']",0,0.7685306072235107,mix_33_7_closest,"['body', 'aristotle', 'god', 'descartes']","['world', 'object', 'relation', 'property']",LDA_54
47,216476480,,<b>selection</b><br><b>gene</b><br>evolutionary<br>fitness<br><b>organism</b><br>specie<br><b>population</b><br>biological,[4],"['selection', 'gene', 'organism', 'population', 'evolutionary', 'fitness', 'specie', 'biological']",-1,1.0,single,"['selection', 'gene', 'organism', 'population']","['evolutionary', 'fitness', 'specie', 'biological']",BERTopic_25
48,216476481,,<b>philosophic</b><br><b>mankind</b><br>seventeenth<br>philosophiae<br>descartes<br><b>spiritual</b><br>newton<br><b>conscience</b>,"[5, 0]","['descartes', 'newton', 'seventeenth', 'philosophiae', 'conscience', 'philosophic', 'spiritual', 'mankind']",0,0.7109962701797485,mix_5_0_closest,"['descartes', 'newton', 'seventeenth', 'philosophiae']","['conscience', 'philosophic', 'spiritual', 'mankind']",Top2Vec_10
49,216476482,,<b>galileo</b><br><b>motion</b><br>time<br>field<br><b>body</b><br><b>newton</b><br>spacetime<br>space,"[5, 13]","['newton', 'motion', 'galileo', 'body', 'space', 'spacetime', 'field', 'time']",0,0.7684628963470459,mix_5_13_closest,"['newton', 'motion', 'galileo', 'body']","['space', 'spacetime', 'field', 'time']",BERTopic_54
50,216476483,,<b>macrostate</b><br>batterman<br>approximation<br><b>macrostates</b><br><b>microstates</b><br>idealization<br>idealize<br><b>microstate</b>,"[12, 22]","['idealization', 'batterman', 'idealize', 'approximation', 'macrostate', 'microstates', 'macrostates', 'microstate']",0,0.8007727861404419,mix_12_22_closest,"['idealization', 'batterman', 'idealize', 'approximation']","['macrostate', 'microstates', 'macrostates', 'microstate']",Top2Vec_25
51,216476484,,<b>social</b><br>historian<br><b>sociology</b><br>technology<br>science<br><b>society</b><br>history<br><b>culture</b>,"[3, 7]","['science', 'history', 'historian', 'technology', 'social', 'culture', 'society', 'sociology']",0,0.7469043731689453,mix_3_7_closest,"['science', 'history', 'historian', 'technology']","['social', 'culture', 'society', 'sociology']",CFMF-emb_51
52,216476485,,<b>predicate</b><br>carnap<br>language<br><b>truth</b><br><b>true</b><br>meaning<br><b>sentence</b><br>wittgenstein,"[21, 11]","['language', 'carnap', 'meaning', 'wittgenstein', 'sentence', 'truth', 'predicate', 'true']",0,0.7404121160507202,mix_21_11_closest,"['language', 'carnap', 'meaning', 'wittgenstein']","['sentence', 'truth', 'predicate', 'true']",NMF_25
53,216476486,,<b>truth</b><br>statement<br><b>logic</b><br><b>true</b><br>argument<br>sentence<br>rule<br><b>proposition</b>,[7],"['true', 'truth', 'logic', 'proposition', 'statement', 'argument', 'rule', 'sentence']",-1,1.0,single,"['true', 'truth', 'logic', 'proposition']","['statement', 'argument', 'rule', 'sentence']",LDA_25
54,216476487,,<b>spacetime</b><br>quantum<br>bohr<br><b>einstein</b><br>wave<br><b>relativity</b><br><b>clock</b><br>electron,"[19, 2]","['spacetime', 'einstein', 'clock', 'relativity', 'quantum', 'wave', 'bohr', 'electron']",0,0.7554806470870972,mix_19_2_closest,"['spacetime', 'einstein', 'clock', 'relativity']","['quantum', 'wave', 'bohr', 'electron']",CFMF_50
55,216476488,,cause<br><b>explanatory</b><br><b>explanation</b><br><b>explanandum</b><br>event<br><b>hempel</b><br>causation<br>causal,"[36, 33]","['causal', 'causation', 'cause', 'event', 'explanation', 'explanatory', 'hempel', 'explanandum']",0,0.7526228427886963,mix_36_33_closest,"['causal', 'causation', 'cause', 'event']","['explanation', 'explanatory', 'hempel', 'explanandum']",CFMF-emb_51
56,216476489,,<b>realism</b><br>scientific<br>hypothesis<br><b>claim</b><br><b>argument</b><br>theory<br>science<br><b>truth</b>,"[12, 1]","['theory', 'scientific', 'science', 'hypothesis', 'realism', 'argument', 'claim', 'truth']",0,0.7773300409317017,mix_12_1_closest,"['theory', 'scientific', 'science', 'hypothesis']","['realism', 'argument', 'claim', 'truth']",LDA_25
57,216476490,,<b>fraassen</b><br><b>realism</b><br>rationality<br>science<br><b>van</b><br><b>realist</b><br>popper<br>laudan,"[9, 16]","['realist', 'realism', 'fraassen', 'van', 'laudan', 'popper', 'science', 'rationality']",0,0.8224658966064453,mix_9_16_closest,"['realist', 'realism', 'fraassen', 'van']","['laudan', 'popper', 'science', 'rationality']",CFMF-emb_51
58,216476491,,<b>fitelson</b><br><b>confirmation</b><br>nonravens<br>raven<br><b>shogenji</b><br>nonblack<br><b>meijs</b><br>nonraven,"[34, 29]","['nonraven', 'nonravens', 'raven', 'nonblack', 'fitelson', 'shogenji', 'meijs', 'confirmation']",0,0.7832663059234619,mix_34_29_closest,"['nonraven', 'nonravens', 'raven', 'nonblack']","['fitelson', 'shogenji', 'meijs', 'confirmation']",Top2Vec_48
59,216476492,,property<br><b>regularity</b><br><b>statement</b><br>physical<br><b>generalization</b><br>mental<br>supervenience<br><b>law</b>,"[14, 17]","['law', 'statement', 'regularity', 'generalization', 'property', 'supervenience', 'mental', 'physical']",0,0.7408162355422974,mix_14_17_closest,"['law', 'statement', 'regularity', 'generalization']","['property', 'supervenience', 'mental', 'physical']",NMF_50
60,216476493,,<b>epistemic</b><br><b>believe</b><br>scientific<br>social<br>science<br><b>agent</b><br>theory<br><b>belief</b>,"[4, 5]","['science', 'theory', 'scientific', 'social', 'belief', 'epistemic', 'agent', 'believe']",0,0.7292642593383789,mix_4_5_closest,"['science', 'theory', 'scientific', 'social']","['belief', 'epistemic', 'agent', 'believe']",NMF_10
61,216476494,,prerequisite<br>existency<br><b>unsustainable</b><br><b>methodical</b><br><b>pofitivism</b><br><b>tubingen</b><br>mortgage<br>falseness,[8],"['prerequisite', 'mortgage', 'existency', 'falseness', 'methodical', 'unsustainable', 'pofitivism', 'tubingen']",-1,1.0,single,"['prerequisite', 'mortgage', 'existency', 'falseness']","['methodical', 'unsustainable', 'pofitivism', 'tubingen']",Top2Vec_25
62,216476495,,<b>inductive</b><br><b>induction</b><br>law<br>explanation<br><b>hypothesis</b><br>hempel<br>explanatory<br><b>confirmation</b>,"[10, 9]","['inductive', 'induction', 'confirmation', 'hypothesis', 'explanation', 'law', 'explanatory', 'hempel']",0,0.7653226852416992,mix_10_9_closest,"['inductive', 'induction', 'confirmation', 'hypothesis']","['explanation', 'law', 'explanatory', 'hempel']",CFMF-emb_24
63,216476496,,<b>etl</b><br><b>bisimulation</b><br>ditmarsch<br><b>fagin</b><br>bisimilar<br>gerbrandy<br><b>benthem</b><br>baltag,[20],"['ditmarsch', 'bisimilar', 'baltag', 'gerbrandy', 'fagin', 'benthem', 'bisimulation', 'etl']",-1,1.0,single,"['ditmarsch', 'bisimilar', 'baltag', 'gerbrandy']","['fagin', 'benthem', 'bisimulation', 'etl']",Top2Vec_25
64,216476497,,<b>theory</b><br>truth<br><b>model</b><br>object<br>sentence<br><b>term</b><br>language<br><b>theoretical</b>,"[0, 10]","['sentence', 'language', 'truth', 'object', 'theory', 'theoretical', 'term', 'model']",0,0.7648385763168335,mix_0_10_closest,"['sentence', 'language', 'truth', 'object']","['theory', 'theoretical', 'term', 'model']",BERTopic_54
65,216476498,,intuition<br><b>fact</b><br>priori<br><b>nature</b><br><b>physical</b><br><b>sense</b><br>concept<br>kant,"[23, 30]","['kant', 'priori', 'concept', 'intuition', 'nature', 'physical', 'fact', 'sense']",0,0.7812751531600952,mix_23_30_closest,"['kant', 'priori', 'concept', 'intuition']","['nature', 'physical', 'fact', 'sense']",LDA_54
66,216476499,,justification<br>believe<br><b>reason</b><br>belief<br><b>rational</b><br><b>revision</b><br><b>justify</b><br>doxastic,[5],"['belief', 'believe', 'doxastic', 'justification', 'justify', 'reason', 'rational', 'revision']",-1,1.0,single,"['belief', 'believe', 'doxastic', 'justification']","['justify', 'reason', 'rational', 'revision']",NMF_50
67,216476500,,<b>experience</b><br><b>philosophy</b><br>concept<br><b>science</b><br>work<br><b>nature</b><br>idea<br>knowledge,[0],"['science', 'philosophy', 'nature', 'experience', 'knowledge', 'concept', 'idea', 'work']",-1,1.0,single,"['science', 'philosophy', 'nature', 'experience']","['knowledge', 'concept', 'idea', 'work']",LDA_10
68,216476501,,<b>probability</b><br><b>frequency</b><br>bayesian<br>probabilistic<br><b>propensity</b><br>conditional<br>sequence<br><b>distribution</b>,[1],"['probability', 'frequency', 'distribution', 'propensity', 'conditional', 'probabilistic', 'bayesian', 'sequence']",-1,1.0,single,"['probability', 'frequency', 'distribution', 'propensity']","['conditional', 'probabilistic', 'bayesian', 'sequence']",NMF_50
69,216476502,,<b>accommodation</b><br><b>hypothesis</b><br><b>evidence</b><br>mendeleev<br>theory<br>predict<br><b>predictivism</b><br>prediction,[51],"['prediction', 'theory', 'mendeleev', 'predict', 'predictivism', 'accommodation', 'hypothesis', 'evidence']",-1,1.0,single,"['prediction', 'theory', 'mendeleev', 'predict']","['predictivism', 'accommodation', 'hypothesis', 'evidence']",BERTopic_54
70,216476503,,<b>evidence</b><br>fitness<br>gene<br>selection<br><b>confirm</b><br><b>confirmation</b><br><b>hypothesis</b><br>population,"[8, 9]","['selection', 'fitness', 'population', 'gene', 'hypothesis', 'confirmation', 'evidence', 'confirm']",0,0.6297659873962402,mix_8_9_closest,"['selection', 'fitness', 'population', 'gene']","['hypothesis', 'confirmation', 'evidence', 'confirm']",NMF_10
71,216476504,,<b>sentence</b><br><b>frege</b><br>semantics<br><b>tarski</b><br>provable<br><b>quantifier</b><br>peano<br>semantical,[0],"['tarski', 'frege', 'quantifier', 'sentence', 'semantical', 'semantics', 'peano', 'provable']",-1,1.0,single,"['tarski', 'frege', 'quantifier', 'sentence']","['semantical', 'semantics', 'peano', 'provable']",Top2Vec_48
72,216476505,,energy<br><b>equilibrium</b><br><b>thermodynamic</b><br>probability<br><b>entropy</b><br><b>ergodic</b><br>boltzmann<br>system,[17],"['entropy', 'equilibrium', 'ergodic', 'thermodynamic', 'energy', 'system', 'boltzmann', 'probability']",-1,1.0,single,"['entropy', 'equilibrium', 'ergodic', 'thermodynamic']","['energy', 'system', 'boltzmann', 'probability']",CFMF-emb_51
73,216476506,,simulation<br><b>hempel</b><br>representation<br>model<br><b>explanandum</b><br>climate<br><b>explanation</b><br><b>explanatory</b>,"[29, 33]","['model', 'simulation', 'climate', 'representation', 'explanation', 'explanatory', 'hempel', 'explanandum']",0,0.7417621612548828,mix_29_33_closest,"['model', 'simulation', 'climate', 'representation']","['explanation', 'explanatory', 'hempel', 'explanandum']",CFMF-emb_51
